ClienteID,Sexo,EstadoCivil,DomicilioDepartamento,DomicilioProvincia,DomicilioDistrito,FechaNacimiento,TipoPersona,VentaID
239974,masculino,soltero,tacna,tacna,tacna,1958-11-25 00:00:00,persona natural,194151
239988,femenino,soltero,cuzco,la convencion,santa ana,1968-10-03 00:00:00,persona natural,194156
239796,masculino,soltero,piura,piura,piura,1966-01-25 00:00:00,persona natural,194157
240007,masculino,divorciado,junin,jauja,yauyos,1966-03-11 00:00:00,persona natural,194175
240020,masculino,soltero,huanuco,huanuco,amarilis,1991-04-02 00:00:00,persona natural,194192
240030,masculino,soltero,ancash,huaraz,independecia,1984-12-18 00:00:00,persona natural,194199
240050,masculino,soltero,huanuco,huanuco,pillco marca,1989-10-21 00:00:00,persona natural,194245
240059,femenino,viudo,arequipa,arequipa,cayma,1948-09-22 00:00:00,persona natural,194252
217853,masculino,soltero,tacna,tacna,tacna,1986-03-23 00:00:00,persona natural,194255
188830,NO ESPECIFICA,"",lima,lima,cercado de lima,2007-09-19 00:00:00,persona jurídica,194267
240087,masculino,soltero,cuzco,cusco,santiago,1979-05-07 00:00:00,persona natural,194291
239732,masculino,soltero,junin,huancayo,el tambo,1987-05-12 00:00:00,persona natural,194293
240115,femenino,soltero,arequipa,arequipa,socabaya,1989-05-07 00:00:00,persona natural,194334
240082,masculino,soltero,junin,satipo,rio negro,1988-08-20 00:00:00,persona natural,194355
240171,masculino,soltero,cuzco,cusco,cuzco,1981-09-24 00:00:00,persona natural,194414
240174,masculino,soltero,ancash,santa,chimbote,1989-08-10 00:00:00,persona natural,194417
240177,masculino,soltero,junin,huancayo,pilcomayo,1996-05-25 00:00:00,persona natural,194424
240182,masculino,conviviente,apurimac,abancay,abancay,1990-06-03 00:00:00,persona natural,194428
240191,femenino,soltero,amazonas,utcubamba,bagua grande,1989-10-05 00:00:00,persona natural,194435
240202,masculino,soltero,arequipa,arequipa,alto selva alegre,1992-03-16 00:00:00,persona natural,194447
197511,masculino,soltero,piura,sullana,sullana,1968-03-14 00:00:00,persona natural,194464
240263,masculino,soltero,junin,huancayo,chilca,1991-01-11 00:00:00,persona natural,194527
240280,masculino,soltero,puno,san roman,juliaca,1990-12-12 00:00:00,persona natural,194545
240301,masculino,soltero,la libertad,trujillo,trujillo,1989-11-03 00:00:00,persona natural,194566
240321,femenino,soltero,la libertad,ascope,chocope,1983-06-02 00:00:00,persona natural,194576
240324,masculino,conviviente,cuzco,la convencion,santa ana,1989-09-23 00:00:00,persona natural,194584
240345,femenino,soltero,huanuco,huanuco,huanuco,1994-09-28 00:00:00,persona natural,194591
240363,femenino,soltero,puno,san roman,juliaca,1998-03-12 00:00:00,persona natural,194621
240398,masculino,soltero,la libertad,gran chimu,cascas,1959-09-26 00:00:00,persona natural,194665
240400,femenino,soltero,puno,puno,puno,1999-08-11 00:00:00,persona natural,194668
240406,masculino,casado,loreto,maynas,belen,1970-12-28 00:00:00,persona natural,194675
240417,masculino,soltero,junin,yauli,la oroya,1994-08-19 00:00:00,persona natural,194691
240437,masculino,casado,moquegua,ilo,ilo,1979-01-01 00:00:00,persona natural,194715
240479,masculino,casado,arequipa,arequipa,mariano melgar,1964-06-15 00:00:00,persona natural,194771
240431,NO ESPECIFICA,"",arequipa,arequipa,alto selva alegre,2016-05-30 00:00:00,persona jurídica,194786
240498,femenino,soltero,junin,jauja,pancan,1987-04-17 00:00:00,persona natural,194798
240502,masculino,soltero,la libertad,trujillo,salaverry,1975-08-19 00:00:00,persona natural,194803
240512,femenino,soltero,huancavelica,tayacaja,ahuaycha,1971-11-18 00:00:00,persona natural,194828
240523,masculino,soltero,puno,puno,puno,1997-08-12 00:00:00,persona natural,194842
237424,masculino,soltero,la libertad,trujillo,trujillo,1974-11-18 00:00:00,persona natural,194871
240584,masculino,soltero,la libertad,trujillo,trujillo,1991-05-20 00:00:00,persona natural,194920
240644,masculino,soltero,huanuco,pachitea,panao,1993-01-02 00:00:00,persona natural,194988
240647,masculino,soltero,lima,lima,santiago de surco,1981-10-15 00:00:00,persona natural,194992
240648,femenino,soltero,cuzco,urubamba,chinchero,1984-01-20 00:00:00,persona natural,194995
240654,masculino,soltero,huanuco,huanuco,pillco marca,1996-09-20 00:00:00,persona natural,195004
240672,masculino,soltero,la libertad,trujillo,el porvenir,1987-06-09 00:00:00,persona natural,195014
240604,masculino,soltero,arequipa,arequipa,socabaya,1980-06-09 00:00:00,persona natural,195021
240687,femenino,soltero,junin,huancayo,el tambo,1995-12-17 00:00:00,persona natural,195025
15858,masculino,casado,lambayeque,chiclayo,chiclayo,1985-02-09 00:00:00,persona natural,195027
15858,masculino,casado,lambayeque,chiclayo,chiclayo,1985-02-09 00:00:00,persona natural,195029
31850,masculino,soltero,la libertad,trujillo,victor larco herrera,1975-08-13 00:00:00,persona natural,195030
240700,masculino,soltero,cajamarca,cajabamba,cajabamba,1977-08-11 00:00:00,persona natural,195034
240700,masculino,soltero,cajamarca,cajabamba,cajabamba,1977-08-11 00:00:00,persona natural,195038
240702,femenino,soltero,puno,chucuito,desaguadero,1992-03-31 00:00:00,persona natural,195042
